Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_Login,Chrome 121.0.0.0,,,07-02-2024 15:24:44,07-02-2024 15:25:21,37.016s,FAILED
,,,,,,,
Test Cases/Amazon/TC_Amazon_Login,Chrome 121.0.0.0,,,07-02-2024 15:25:13,07-02-2024 15:25:21,8.682s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 15:25:13,07-02-2024 15:25:16,2.861s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,07-02-2024 15:25:16,07-02-2024 15:25:17,1.320s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,07-02-2024 15:25:17,07-02-2024 15:25:19,1.612s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Sign in""))",Chrome 121.0.0.0,,,07-02-2024 15:25:19,07-02-2024 15:25:21,2.070s,PASSED
"setText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_email""), username)",Chrome 121.0.0.0,,,07-02-2024 15:25:21,07-02-2024 15:25:21,0.299s,FAILED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 15:25:21,07-02-2024 15:25:21,0.326s,PASSED
