Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_Login_Excel,Chrome 121.0.0.0,,,07-02-2024 15:18:57,07-02-2024 15:20:08,1m - 10.842s,FAILED
,,,,,,,
Test Cases/Amazon/TC_Amazon_Login,Chrome 121.0.0.0,,,07-02-2024 15:19:58,07-02-2024 15:20:08,9.887s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 15:19:58,07-02-2024 15:20:01,3.061s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,07-02-2024 15:20:01,07-02-2024 15:20:02,1.349s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,07-02-2024 15:20:02,07-02-2024 15:20:04,1.629s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Sign in""))",Chrome 121.0.0.0,,,07-02-2024 15:20:04,07-02-2024 15:20:07,3.100s,PASSED
"setText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_email""), username)",Chrome 121.0.0.0,,,07-02-2024 15:20:07,07-02-2024 15:20:07,0.264s,FAILED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 15:20:07,07-02-2024 15:20:08,0.426s,PASSED
